Defaulted container "hyrax-worker" out of: hyrax-worker, db-wait (init)
=== Bulkrax Imports Cleanup ===
DRY_RUN: true
Started: Thu May 28 16:24:35 UTC 2026
DELETE: /app/samvera/hyrax-webapp/tmp/imports/dc/1043_20251210152234/ (1.5 MB, 169d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/dc/1044_20251211163528/ (1.5 MB, 168d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/dc/1045_20251214185055/ (1.5 MB, 165d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/dc/1046_20251217133723/ (1.5 MB, 162d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/dc/1047_20251218141238/ (7.6 KB, 161d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/dc/1048_20251218155207/ (87.0 KB, 161d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/dc/1049_20251219150532/ (2.5 MB, 160d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/dc/104_20221231165703/ (1.0 MB, 1244d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/dc/1050_20251224143526/ (6.0 MB, 155d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/dc/1051_20260105142756/ (241.8 KB, 143d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/dc/1052_20260106152344/ (249.3 KB, 142d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/dc/1053_20260114185430/ (72.4 KB, 134d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/dc/1054_20260115135237/ (8.3 KB, 133d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/dc/1055_20260115162833/ (15.9 KB, 133d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/dc/1056_20260115181219/ (1.8 MB, 133d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/dc/1057_20260123140801/ (22.8 KB, 125d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/dc/1058_20260123163319/ (6.0 MB, 125d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/dc/1059_20260226195338/ (15.6 KB, 91d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/dc/105_20230101052046/ (1.0 MB, 1243d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/dc/1060_20260227160032/ (481.2 MB, 90d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/dc/1061_20260309165905/ (86.7 KB, 80d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/dc/1062_20260316115228/ (1.2 MB, 73d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/dc/1063_20260318184425/ (121.9 KB, 71d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/dc/1064_20260319133656/ (19.5 KB, 70d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/dc/1065_20260319150536/ (1.1 MB, 70d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/dc/1066_20260330122253/ (4.9 MB, 59d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/dc/1067_20260403165337/ (93.8 KB, 55d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/dc/1068_20260405154006/ (52.1 KB, 53d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/dc/1069_20260405154110/ (53.2 KB, 53d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/dc/106_20230101155243/ (1.0 MB, 1243d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/dc/1070_20260406193409/ (32.0 KB, 52d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/dc/1071_20260406194356/ (31.1 KB, 52d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/dc/1072_20260407114347/ (135.7 KB, 51d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/dc/1073_20260407181636/ (336.3 KB, 51d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/dc/1074_20260407182755/ (25.5 KB, 51d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/dc/1075_20260410120257/ (30.6 KB, 48d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/dc/1076_20260410122604/ (24.9 KB, 48d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/dc/1077_20260410122842/ (24.9 KB, 48d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/dc/1078_20260410123057/ (24.9 KB, 48d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/dc/1079_20260410234839/ (293.6 KB, 48d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/dc/107_20230102040407/ (1.0 MB, 1242d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/dc/1080_20260413114556/ (143.3 KB, 45d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/dc/1081_20260413133910/ (143.7 KB, 45d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/dc/1082_20260413145206/ (141.2 KB, 45d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/dc/1083_20260413164744/ (166.2 KB, 45d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/dc/1084_20260413183018/ (193.2 KB, 45d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/dc/1085_20260414114534/ (170.2 KB, 44d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/dc/1086_20260414125205/ (142.6 KB, 44d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/dc/1087_20260414143652/ (142.4 KB, 44d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/dc/1088_20260414154642/ (142.2 KB, 44d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/dc/1089_20260414171111/ (142.4 KB, 44d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/dc/108_20230102172947/ (1.0 MB, 1242d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/dc/1090_20260414173724/ (92.2 KB, 44d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/dc/1091_20260415143105/ (24.3 KB, 43d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/dc/1092_20260415143432/ (15.5 KB, 43d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/dc/1093_20260415150313/ (8.6 KB, 43d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/dc/1094_20260415173526/ (7.1 KB, 43d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/dc/1095_20260415173552/ (7.9 KB, 43d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/dc/1096_20260415173614/ (8.4 KB, 43d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/dc/1097_20260415192727/ (8.1 KB, 43d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/dc/1098_20260415192828/ (74.7 KB, 43d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/dc/1099_20260415204431/ (84.1 KB, 43d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/dc/109_20230103122756/ (445.9 KB, 1241d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/dc/10_20221209050847/ (366.7 KB, 1266d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/dc/1100_20260416142109/ (6.5 KB, 42d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/dc/1101_20260416143121/ (377.1 KB, 42d old)
